suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_hashed,jenis_email,persetujuan,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,input_verifikasi_hashed,sumber_verifikasi_hashed,verified,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fip,pilihan_dpm_fkis
true,,true,,2020-12-18 10:16:44 +0700 WIB,true,ae99ee337a4def101bf80795c1ff3e5e,student,Setuju,FH,FH,true,true,1165526b84237b7bb39f956aed494df2,1165526b84237b7bb39f956aed494df2,true,true,Pasangan calon nomor urut 2,Calon DPM nomor urut 4,,,,,,
true,,true,,2020-12-18 08:52:21 +0700 WIB,true,5b1c94ac5b8de4c0e920f79ca79518a9,student,Setuju,FT,FT,true,true,070c2f7fe3f0818b33ee7d93a22b7ab7,070c2f7fe3f0818b33ee7d93a22b7ab7,true,true,Pasangan calon nomor urut 2,,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 11:24:09 +0700 WIB,true,32c125f1732d3ab2ac48b36223317a55,student,Setuju,FP,FP,true,true,05297734960cc5778dd2e2a2745191ca,05297734960cc5778dd2e2a2745191ca,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 4,,,,
true,,true,,2020-12-18 10:21:45 +0700 WIB,true,d2bbb7b2a951e52d4591f6d3985e3a6a,student,Setuju,FH,FH,true,true,4e625a7a46325d782a3c2c6408a687a8,4e625a7a46325d782a3c2c6408a687a8,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 4,,,,,,
true,,true,,2020-12-18 08:59:40 +0700 WIB,true,d4d22567fbba28e857e54a3dc6b3277e,student,Setuju,FT,FT,true,true,85fd683974afaa9a7ca398338f2b9636,85fd683974afaa9a7ca398338f2b9636,true,true,Pasangan calon nomor urut 2,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 09:36:52 +0700 WIB,true,661e28123a23438da47d25f7148a94b2,student,Setuju,FP,FP,true,true,b385e8db618ca976d0bdb7471a2c9f02,b385e8db618ca976d0bdb7471a2c9f02,true,true,Pasangan calon nomor urut 2,,,Calon DPM nomor urut 3,,,,
true,,true,,2020-12-18 11:15:03 +0700 WIB,true,45db19d938eec33a5ab0df3cb88365cd,student,Setuju,FH,FH,true,true,b3979cf767580989dd48d58f8242feff,b3979cf767580989dd48d58f8242feff,true,true,Pasangan calon nomor urut 2,Calon DPM nomor urut 4,,,,,,
true,,true,,2020-12-18 11:06:11 +0700 WIB,true,b4fb7a90fd4e96e8751460f10645aec3,student,Setuju,FT,FT,true,true,1f307f5e3d14895e0dd3d2144a298fde,1f307f5e3d14895e0dd3d2144a298fde,true,true,Pasangan calon nomor urut 3,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 12:39:56 +0700 WIB,true,61585713794537611c7937f63293377a,student,Setuju,FP,FP,true,true,854b15c2ec135d3b9689ff0bd0edfd7f,854b15c2ec135d3b9689ff0bd0edfd7f,true,true,Pasangan calon nomor urut 2,,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 12:55:56 +0700 WIB,true,fe576df11a713b36831fb97c5fc93eb6,student,Setuju,FH,FH,true,true,9ec0c8c27bcf90cb573f047ecc0f2303,9ec0c8c27bcf90cb573f047ecc0f2303,true,true,Pasangan calon nomor urut 3,Calon DPM nomor urut 1,,,,,,
